,Title,Smiles
0,C200-4134,CC(CC1)Cc2c1c1c(N3CCCCC3)nc(C3=Cc(cccc4OC)c4OC3=O)nc1s2
1,C350-0671,COc1cccc(-c(c2cnc3c(F)cc(F)cc3c22)nn2-c(cc2)ccc2F)c1
2,C350-0829,CCOc(cc1)ccc1-c(c1cnc2c(F)cc(F)cc2c11)nn1-c(cc1)ccc1F
3,C200-4133,CC(CC1)Cc2c1c1c(N3CCCCC3)nc(C3=Cc(ccc(OC)c4)c4OC3=O)nc1s2
4,3909-8313,CC(CC(C)C1)CN1c1nc(-c2ccc(C)cc2)nc2ccccc12
5,L331-0249,O=C(c1nc(N2CCOCC2)c2oc(cccc3)c3c2n1)Nc(cc1)cc(F)c1F
6,C350-0808,CCOc(cc1)ccc1-c(c1cnc2c(F)cc(F)cc2c11)nn1-c1ccccc1
7,IB05-8755,CCOc(cc(c1c2)nc(-c(cc3)cc(OC)c3OC)nc1N(CC1)CCN1c(cccc1)c1F)c2OC
8,K841-0212,COc(cc1)ccc1N(CC1)CCN1c1nc(-c(cccc2)c2F)nc2ccccc12
9,C053-0373,CCOC(c1cnc(cc(C(F)(F)F)cc2)c2c1N1CC(C)CC(C)C1)=O
10,5277-0218,COc1ccc(ccc(OC)c2/C=N\Nc(nc3)nc(N4CCOCC4)c3F)c2c1
11,K841-0206,Fc(cc1)ccc1N(CC1)CCN1c1nc(-c(cccc2)c2F)nc2ccccc12
12,3909-7779,COc(ccc(-c1nc2ccccc2c(N(CC2)CCN2c(cccc2)c2F)n1)c1)c1OC
13,3909-7888,Cc1cccc(-c2nc3ccccc3c(N(CC3)CCN3c(cc3)ccc3F)n2)c1
14,3909-7818,COc(ccc(-c1nc2ccccc2c(N(CC2)CCN2c(cc2)ccc2F)n1)c1)c1OC
15,C350-0828,CCOc(cc1)ccc1-c(c1cnc2c(F)cc(F)cc2c11)nn1-c1ccc(C)cc1
16,C200-5249,CCOc(cc1)ccc1-c1n[nH]c2c(cc(cc3)F)c3ncc12
17,C350-0826,CCOc(cc1)ccc1-c(c1c2c3cc(F)cc(F)c3nc1)nn2-c(cc1)ccc1Cl
18,L331-0713,O=C(c1nc(N2CCCCCC2)c2oc(cccc3)c3c2n1)Nc(cc1)cc(F)c1F
19,L331-0404,O=C(c1nc(N2CCCCC2)c2oc(cccc3)c3c2n1)Nc(cc1)cc(F)c1F
20,C200-5255,CCOc(cc12)ccc1ncc1c2[nH]nc1-c(cc1)ccc1F
