,Title,Smiles
0,AN-153/J102310,O=C1NC(N2CCCCC2)=NC2=C1C(C1=C\C=C3\C=CC=C\C3=C\1)=CC=N2
1,AT-225/JK10309,CCOC(=O)C1=C(O)C2=CC(F)=C(N3CCN(C(C)=O)CC3)N=C2N=C1
2,AT-225/JK07514,CCN(CC)C1=N/C=N/C2=C\1NC1=C2C=C(OC)C=C1
3,AT-225/JK07488,COC1=CC2=C(C=C1)NC1=C2/N=C\N=C\1N1CCCCC1
4,AT-225/NB48356,COC1=CC2=C(C=C1)C1=NC3=CC=CC=C3C(N3CCOCC3)=C1CC2
5,AT-225/NB47209,COC1=CC2=C(C=C1)C1=NC3=CC=CC=C3C(N3CCOCC3)=C1CC2
6,AT-225/JK06946,COC1=CC2=C(C=C1)C1=C(CC2)C(N2CCOCC2)=C2C=CC=CC2=N1
7,AT-687/PE25854,CCOC1=C(OCC)C=C(C2=CSC3=C2N=C(N2CCN(C4=CC=CC=C4F)CC2)NC3=O)C=C1
8,AT-687/SK17411,CCOC(=O)C1CCN(C2=C(C#N)C=N/C3=C\C=C(F)/C=C\23)CC1
9,AT-687/SK17429,N#CC1=C(N2CCC(C(=O)O)CC2)C2=C/C(F)=C\C=C\2N=C1
10,AT-687/NB06792,O=S(=O)(C1=CC=C(F)C=C1)C1=C(\N2CCC(N3CCCCC3)CC2)C2=CC=CC(F)=C2/N=C\1
11,AT-687/NB06795,O=S(=O)(C1=CC=C(F)C=C1)C1=C(\N2CCC(CN3CCCC3)CC2)C2=CC=CC(F)=C2/N=C\1
12,AT-687/PE25811,O=S(=O)(C1=CC=C(F)C=C1)C1=C(\C2=CC(F)=CC=C2)C2=CC(Cl)=CC(F)=C2/N=C\1
13,AN-153/J107084,O=C1NC(N2CCCCC2)=NC2=C1C(C1=C\C=C3\OCO\C3=C\1)=CC=N2
14,AN-153/J107076,O=C1NC(N2CCOCC2)=NC2=C1C(C1=C\C=C3\OCO\C3=C\1)=CC=N2
15,AT-138/QI01021,FC1=C(N2CCCC2)N=C(N/N=C\C2=C\C3=C(/C=C\2)OCO3)N=C1
16,AT-225/JK06945,COC1=CC2=C(C=C1)C1=C(CC2)C(N2CCN(C)CC2)=C2C=CC=CC2=N1
17,AT-225/NB48355,COC1=CC2=C(C=C1)C1=NC3=CC=CC=C3C(N3CCN(C)CC3)=C1CC2
18,AT-687/SK17441,COC1=CC=C2C(=C1)N=CC(C#N)=C2N1CCC(C(=O)O)CC1
19,AN-153/NB25804,CN1CCN(C2=NC3=NC=CC(C4=C/C5=C(\C=C/4)OCO5)=C3C(=O)N2)CC1
20,AT-819/OC12801,CC(C)(C)OC1=CC2=C(C=C1)NC(=O)N=C2C1=CC=CC=C1F
21,AT-225/JK13034,OC1=CC2=C(C=C1)C1=C(/C=C\2)C2=C(/C=N\N2)CC1
22,AN-153/J103479,O=C1NC(N2CCOCC2)=NC2=C1C(C1=CC=C(F)C=C1)=CC=N2
23,AT-687/PE13102,O=S(=O)(C1=CC(F)=CC(F)=C1)C1=C(\C2=CC=C(F)C=C2)C2=C(\N=C/1)C(F)=CC=C2
24,AT-687/PE25900,O=C1NC(N2CCN(C3=CC=CC=C3F)CC2)=NC2=C1SC=C2C1=CC(Cl)=C(Cl)C=C1
25,AT-687/PE27681,CCOC(=O)C1CCN(C2=C(C#N)C=NC3=C2C=CC(OC)=C3)CC1
26,AT-687/PE25833,CC1=CC(C2=CSC3=C2N=C(N2CCN(C4=CC=CC=C4F)CC2)NC3=O)=CC=C1
27,AT-687/PE25861,O=C1NC(N2CCN(C3=CC=CC=C3F)CC2)=NC2=C1SC=C2C1=CC(F)=CC=C1
28,AT-687/PE13101,O=S(=O)(C1=CC(Cl)=CC(Cl)=C1)C1=C(\C2=CC=C(F)C=C2)C2=C(\N=C/1)C(F)=CC=C2
29,AT-687/NB06794,O=S(=O)(C1=CC=CC(F)=C1)C1=C(\N2CCCCC2CCN2CCOCC2)C2=CC=CC(F)=C2/N=C\1
30,AN-153/J102306,O=C1NC(N2CCOCC2)=NC2=C1C(C1=C3C=CC=CC3=CC=C1)=CC=N2
31,AT-687/SK17415,N#CC1=C(N2CCC(C(=O)NC3=C(F)C=CC(Cl)=C3)CC2)C2=CC=CC=C2N=C1
32,AT-687/NB06793,O=S(=O)(C1=CC=C(F)C=C1)C1=C(\N2CCCCC2CCN2CCOCC2)C2=CC=CC(F)=C2/N=C\1
33,AT-225/NB32526,O=[N+]([O-])C1=CC=C2C(=C1)/N=C(/C1=CC=CC(O)=C1)C1=C2C=CC([N+](=O)[O-])=C1
34,AT-138/QI00258,COC1=CC=C(NC2=NC(N3CCOCC3)=C(F)C=N2)C=C1
