[2023-10-02 23:37:40,768::train::INFO] Namespace(config='./configs/train.yml', device='cuda', logdir='./logs')
[2023-10-02 23:37:40,768::train::INFO] {'model': {'vn': 'vn', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'encoder': {'name': 'cftfm', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'edge_channels': 64, 'key_channels': 128, 'num_heads': 4, 'num_interactions': 4, 'cutoff': 10.0, 'knn': 48}, 'field': {'name': 'classifier', 'num_filters': 128, 'num_filters_vec': 32, 'edge_channels': 64, 'num_heads': 4, 'cutoff': 10.0, 'knn': 32}, 'position': {'num_filters': 128, 'n_component': 3}}, 'train': {'save': True, 'seed': 2021, 'use_apex': False, 'batch_size': 6, 'num_workers': 8, 'pin_memory': True, 'resume_train': False, 'ckpt_name': 'None', 'start_epoch': 'None', 'max_iters': 500000, 'val_freq': 5000, 'pos_noise_std': 0.1, 'max_grad_norm': 100.0, 'optimizer': {'type': 'adam', 'lr': 0.0002, 'weight_decay': 0, 'beta1': 0.99, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.6, 'patience': 8, 'min_lr': 1e-05}, 'transform': {'mask': {'type': 'mixed', 'min_ratio': 0.0, 'max_ratio': 1.1, 'min_num_masked': 1, 'min_num_unmasked': 0, 'p_random': 0.15, 'p_bfs': 0.6, 'p_invbfs': 0.25}, 'contrastive': {'num_real': 20, 'num_fake': 20, 'pos_real_std': 0.05, 'pos_fake_std': 2.0}, 'edgesampler': {'k': 8}}}, 'dataset': {'index_path': './data/crossdocked_pocket10/index.pkl', 'processed_path': './data/crossdock_data/crossdock_data_gds.lmdb', 'name2id_path': './data/crossdock_data/crossdock_gdsname2id.pt', 'split': './data/split_by_name.pt'}}
[2023-10-02 23:37:42,427::train::INFO] start training...
[2023-10-02 23:37:43,059::train::INFO] Training Epoch 0 | Step 1 | Loss 14.700693 | Loss(Fron) 0.679972 | Loss(Pos) 7.769835 | Loss(Cls) 1.905755 | Loss(Edge) 1.477307 | Loss(Real) 0.134215 | Loss(Fake) 2.074681 | Loss(Surf) 0.658927  
[2023-10-02 23:37:43,287::train::INFO] Training Epoch 0 | Step 2 | Loss 9.311400 | Loss(Fron) 0.629793 | Loss(Pos) 3.843110 | Loss(Cls) 1.767631 | Loss(Edge) 0.875230 | Loss(Real) 0.136476 | Loss(Fake) 2.059162 | Loss(Surf) 0.000000  
[2023-10-02 23:37:43,496::train::INFO] Training Epoch 0 | Step 3 | Loss 9.125819 | Loss(Fron) 0.644715 | Loss(Pos) 3.771633 | Loss(Cls) 1.777945 | Loss(Edge) 0.740774 | Loss(Real) 0.137344 | Loss(Fake) 2.053410 | Loss(Surf) 0.000000  
[2023-10-02 23:37:43,725::train::INFO] Training Epoch 0 | Step 4 | Loss 8.798019 | Loss(Fron) 0.534153 | Loss(Pos) 3.805536 | Loss(Cls) 1.501493 | Loss(Edge) 0.785277 | Loss(Real) 0.140688 | Loss(Fake) 2.030871 | Loss(Surf) 0.000000  
[2023-10-02 23:37:43,935::train::INFO] Training Epoch 0 | Step 5 | Loss 13.848018 | Loss(Fron) 0.734330 | Loss(Pos) 7.990257 | Loss(Cls) 1.535976 | Loss(Edge) 0.771063 | Loss(Real) 0.140516 | Loss(Fake) 2.031230 | Loss(Surf) 0.644647  
[2023-10-02 23:37:44,096::train::INFO] Training Epoch 0 | Step 6 | Loss 13.266747 | Loss(Fron) 0.567918 | Loss(Pos) 7.782446 | Loss(Cls) 1.420933 | Loss(Edge) 0.697023 | Loss(Real) 0.139622 | Loss(Fake) 2.038271 | Loss(Surf) 0.620533  
[2023-10-02 23:37:44,297::train::INFO] Training Epoch 0 | Step 7 | Loss 13.319323 | Loss(Fron) 0.525289 | Loss(Pos) 7.973216 | Loss(Cls) 1.226541 | Loss(Edge) 0.802183 | Loss(Real) 0.135595 | Loss(Fake) 2.064290 | Loss(Surf) 0.592208  
[2023-10-02 23:37:44,504::train::INFO] Training Epoch 0 | Step 8 | Loss 8.851551 | Loss(Fron) 0.725768 | Loss(Pos) 3.759167 | Loss(Cls) 1.240561 | Loss(Edge) 0.879798 | Loss(Real) 0.128141 | Loss(Fake) 2.118115 | Loss(Surf) 0.000000  
[2023-10-02 23:37:44,703::train::INFO] Training Epoch 0 | Step 9 | Loss 8.150223 | Loss(Fron) 0.560065 | Loss(Pos) 3.800659 | Loss(Cls) 0.918293 | Loss(Edge) 0.626290 | Loss(Real) 0.127851 | Loss(Fake) 2.117064 | Loss(Surf) 0.000000  
[2023-10-02 23:37:44,866::train::INFO] Training Epoch 0 | Step 10 | Loss 8.517939 | Loss(Fron) 0.603258 | Loss(Pos) 3.783756 | Loss(Cls) 1.126135 | Loss(Edge) 0.744956 | Loss(Real) 0.124700 | Loss(Fake) 2.135132 | Loss(Surf) 0.000000  
[2023-10-03 00:46:26,506::train::INFO] Training Epoch 0 | Average_Loss 4.49345 | Loss 5.118148 | Loss(Fron) 0.028697 | Loss(Pos) 3.926271 | Loss(Cls) 0.954984 | Loss(Edge) 0.071018 | Loss(Real) 0.031114 | Loss(Fake) 0.054820 | Loss(Surf) 0.051244  
